Code depot;Article;Designation;Rangement;Stock reel;Stock mini;Mini à commander;Maxi à commander;Cde cli en cours;Cde four en cours;Prix unitaire de vente;Prix unitaire d'achat;Numeros de serie;Famille article;Autre designation;Fournisseurs;Code fournisseur;Référence fournisseur;Code famille fournisseur
000;A13715;"VARISTANCE 14Vac;43V;2000A;18000pF RADIAL V24ZA50P";MDO;10;0;0;0;0;0;0;0,73;;PASSIF;;A13715*F80*;F80;7606927;BCA
000;A13716;CAPTEUR INDUCTIF M12 PNP NO NOYABLE CONTRINEX - DW-AD-623-M12;6A06;1;0;0;0;0;0;105;34,16;;CAPTEUR;CABLE : 2M /  PORTEE : 4mm;A13716*F30*;F30;155841;BCA
000;A13717;BOITIER MESTRAC MC48 V2 H + INV AVEC CAPTEUR 2M50;;0;0;0;0;0;0;282;164;;BOITIER;NUMERO DE SERIE GRAVE SUR LE CAPOT PLASTIQUE;A13717*F214*;F214;MC48 V2 H+INV CABLE 2.5M;BCA
000;A13718;COMMUT. DE PUISSANCE 16A / 36.3V / 3.1W D2PAK  AUIPS6031S ;12o04;4;1;5;5;0;0;0;2,76;;ACTIF;;;;;
000;A13719;COMMUT. DE PUISSANCE D2PAK IPS7081SPBF;;0;0;0;0;0;0;0;4,55;;ACTIF;;A13719*F80*;F80;6880691;BCA
000;A1372;PILE ALCALINE BOUTON 1.5V VARTA - V625U;1A07;8;0;1;2;0;0;3,05;0,99;;ENERGIE;;A1372*F40*;F40;305-5929;BCA
000;A13720;TETE D'ARRET URGENCE ROUGE A CLE DIAM 16 SCHNEIDER ELEC - XB6 ZB6AS934;16T27;1;0;0;0;0;0;69;47,91;;COMMUT;;A13720*F80*;F80;4228779;BCA
000;A13721;CONN MALE 14PTS APEX 2.8 NOIR DELPHI - 54201415  / 10757674;9S03;5;0;0;0;0;0;31;4,42;;CONNECTEUR;CONTACT A13624  CP A12783;A13721*F80*;F80;6737985;BCA
000;A13722;CI MAX132CNG+ DIP;12M17;2;0;1;2;0;0;0;16,17;;ACTIF;;A13722*E46*;E46;700-MAX132CNG;BCA
000;A13723;DETECTEUR DE PROXIMITE PS-801  ;;0;0;0;0;0;0;0;0;;CAPTEUR;;A13723*F40*;F40;1006786 ;BCA
000;A13724;CI TPS70151PWPG4 ;12M14;1;0;2;2;0;0;0;2,72;;ACTIF;;A13724*F80*;F80;422873;BCA
